PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,Baserunners
1,1/20/23,13:00:16,1,1,Jason Savacool,savacja42,Right,Maryland,Kevin Keister,keistke42,Right,Maryland,,1,Top,0,0,0,Sinker,,BallCalled,,,,,,,92.64818469,-2.117230665,-2.340800573,2084.152401,227.4012901,1:30,5.990036861,2.485331747,6.475583168,-21.93903073,11.59132614,9.810356967,1.684099329,-0.038088209,83.79465144,-6.657145009,-1.596449306,0.412921674,,,,,,,,,,,,-5.931683358,6.675596202,-2.293463653,50,5.797224742,5.157917683,-134.5860454,-5.736617011,-10.8299183,30.4580858,-19.98591392,Maryland,Maryland,shi01,NCAA D1,BIG10,41770a8b-ecca-41c1-956a-c7f415108b91,1d4ea7fa-98ea-11ed-860a-cd888213d41c,92.83020855,5.988987319,2.489259722,-2.105419821,-2.387570659,83.94609304,1.685336077,-0.041064012,-6.636763407,-1.644312755,0.412784925,10.26765932,10.30780175,-29.78107096,18.22742085,1808.897541,-1035.171926,86.7929591,-0.587466298,-0.496687251,-0.638893672,,,,,,,,,,,,,,,,,0.953263863,1,,,high,high,73.59533124,-3.833169488,54.84441683,Luke Shliger,shliglu42,Maryland,None
2,1/20/23,13:00:16,1,2,Jason Savacool,savacja42,Right,Maryland,Kevin Keister,keistke42,Right,Maryland,,1,Top,0,1,0,Slider,,BallCalled,,,,0,0,,82.27118185,-1.434312449,-2.309621954,2395.865113,34.96868556,7:15,6.181008676,2.50721764,6.34194759,-42.62449479,-0.718587757,-4.885752404,1.408112137,-0.689246503,76.0511197,-8.912657499,-4.185110454,0.465917631,,,,,,,,,,,,1.933832011,0.032902911,-2.303215161,50,6.02811983,4.976780243,-119.537076,-4.352703368,2.786840706,23.90854007,-32.12663328,Maryland,Maryland,shi01,NCAA D1,BIG10,41770a8b-ecca-41c1-956a-c7f415108b91,26136575-98ea-11ed-9448-4f57b0cd5a78,82.3857679,6.174188126,2.510662273,-1.352588082,-2.351780401,76.13670615,1.413607582,-0.691609101,-8.825619158,-4.222395426,0.465807753,-4.490417374,-2.905047383,-79.27350269,0.280594688,445.9208292,-2354.001753,18.61210077,0.152519727,-0.982526829,0.106671282,,,,,,,,,,,,,,,,,0.997426818,1,,,high,high,90.25253523,35.70033796,54.97805241,Luke Shliger,shliglu42,Maryland,None
3,1/20/23,13:00:16,1,3,Jason Savacool,savacja42,Right,Maryland,Kevin Keister,keistke42,Right,Maryland,,1,Top,0,2,0,Sinker,,InPlay,,GroundBall,Out,1,0,,90.35604182,-2.058183547,-3.635655305,2062.455495,228.1818874,1:30,6.010867252,2.396759158,6.4787421,-23.06769658,11.59647601,10.13990887,1.580123066,0.052882152,84.10431118,-6.87437588,-1.522337496,0.415394026,100.7066614,4.597056623,12.55932013,2019.127291,,,,113.5747299,,15.52732304,0.872029709,-6.27112989,6.898996344,-2.101175811,50,5.761589116,7.545839258,-133.7262555,-7.28175909,-11.31534414,29.79747598,-19.72581152,Maryland,Maryland,shi01,NCAA D1,BIG10,41770a8b-ecca-41c1-956a-c7f415108b91,2e34eb30-98ea-11ed-a03d-31b2ea1ffea8,90.53586402,6.009626702,2.40085383,-2.044119471,-3.684153782,84.25569865,1.581399602,0.049885893,-6.853495023,-1.570322383,0.415272981,10.58895095,10.25358526,-28.95631914,4.795824522,1804.625989,-998.5227624,87.49890574,-0.583414791,-0.484142695,-0.652098943,21.82824435,97.9806703,8.071409105,-0.068841148,-1.349926029,1.246586038,30.40371429,109.4295821,6.896976667,4.530676722,0.033400311,0.19993741,0.167694456,-0.965351543,,,0.990077069,1,7.29E-06,57.79844193,high,high,85.68375825,-24.68539322,54.8412579,Luke Shliger,shliglu42,Maryland,None
4,1/20/23,13:00:16,2,1,Jason Savacool,savacja42,Right,Maryland,Matt Shaw,shaw-ma51,Right,Maryland,,1,Top,1,0,0,Slider,,StrikeCalled,,,,0,0,,83.34432648,-0.17054084,-2.483100284,2292.225938,49.84215714,7:45,6.186045357,2.6318939,6.223113236,-40.65935122,0.805865984,-4.856685428,2.919757728,-0.938909509,75.99296055,-6.593126458,-5.357174047,0.460801724,,,,,,,,,,,,2.042549878,0.033320504,-2.40728008,50,6.142581625,5.422588606,-121.0989236,-1.710234946,3.022334477,24.43545879,-32.12474567,Maryland,Maryland,shi01,NCAA D1,BIG10,41770a8b-ecca-41c1-956a-c7f415108b91,41d9036b-98ea-11ed-bc4b-ad0d166f7793,83.46785459,6.179533053,2.634769015,-0.092993409,-2.51810275,76.08859047,2.924941707,-0.940989001,-6.510508038,-5.389793362,0.460688652,-4.485348682,-1.336526944,-78.27974991,6.250362959,465.6275524,-2244.435504,20.31333581,0.130999794,-0.979151081,0.155248881,,,,,,,,,,,,,,,,,0.996638733,1,,,high,high,95.62532437,19.23271821,55.09688676,Luke Shliger,shliglu42,Maryland,None
5,1/20/23,13:00:16,2,2,Jason Savacool,savacja42,Right,Maryland,Matt Shaw,shaw-ma51,Right,Maryland,,1,Top,1,0,1,Four-Seam,,Foul,,,,0,0,,92.86209535,-1.717024921,-2.065489507,2284.885215,213.4043661,1:00,6.405048106,1.826074925,6.50018032,-18.55955517,14.16589857,7.642709341,3.370897968,0.073506834,84.0394406,-4.547994067,-1.137047977,0.411731753,,,,,,,,,,,,-4.702002112,8.096141261,-1.657000654,50,6.248928249,4.599795704,-134.9519383,-4.697096721,-8.625397942,30.81816035,-17.32241011,Maryland,Maryland,shi01,NCAA D1,BIG10,41770a8b-ecca-41c1-956a-c7f415108b91,4c31676b-98ea-11ed-8a93-1bacff096ae3,93.05372392,6.404943509,1.829411948,-1.716430049,-2.104745038,84.20158848,3.371389659,0.07104088,-4.539369194,-1.177189415,0.411588591,8.004588842,12.97036223,-31.32872052,91.45926054,1951.745072,-1188.020043,85.41983022,-0.713089793,-0.519947363,-0.470274054,,,,,,,,,,,,,,,,,0.997747739,1,,,high,high,7.686496547,-79.14704016,54.81981968,Luke Shliger,shliglu42,Maryland,None
6,1/20/23,12:46:23,2,3,Jason Savacool,savacja42,Right,Maryland,Matt Shaw,shaw-ma51,Right,Maryland,,1,Top,1,0,2,Curveball,,BallCalled,,,,0,0,,81.51301824,1.975719514,-1.136414702,2673.875582,36.39667527,7:15,6.506744099,1.942260578,6.215627835,-55.34880831,-10.52046615,-10.84957504,3.745665031,-0.67305959,72.82001312,-8.169108338,-4.065423867,0.47334066,,,,,,,,,,,,5.309261676,-6.337890854,-1.833696536,50,6.645859786,2.688519348,-118.363293,2.359943219,7.428104194,25.49918453,-41.04129262,Maryland,Maryland,shi01,NCAA D1,BIG10,41770a8b-ecca-41c1-956a-c7f415108b91,5b93399c-98ea-11ed-886d-b1f5407d6131,81.60723246,6.495280382,1.94239572,2.115116758,-1.138480812,72.86419462,3.754995841,-0.673097304,-8.022042032,-4.065668734,0.473255713,-10.80923605,-13.86452767,-42.07528558,60.72239289,1984.724138,-1791.781439,74.22649547,0.597470017,-0.670106512,0.440439374,,,,,,,,,,,,,,,,,0.996939961,1,,,high,high,35.34985978,32.37389107,55.10437216,Luke Shliger,shliglu42,Maryland,None
7,1/20/23,12:46:43,2,4,Jason Savacool,savacja42,Right,Maryland,Matt Shaw,shaw-ma51,Right,Maryland,,1,Top,1,1,2,Slider,,BallCalled,,,,0,0,,84.63551967,-1.532106615,-2.458091126,2455.478658,63.43592285,8:00,6.280556483,2.272670729,6.222631959,-38.86546432,1.834653244,-4.99076797,1.760917539,-0.685493662,76.84224101,-8.223854079,-3.789496896,0.459165611,,,,,,,,,,,,1.827828753,1.269626306,-2.154161253,50,5.851905544,6.234832805,-121.4984178,-3.481853269,2.724465607,24.4359935,-30.28161125,Maryland,Maryland,shi01,NCAA D1,BIG10,41770a8b-ecca-41c1-956a-c7f415108b91,67362638-98ea-11ed-b502-675e6f75f759,84.75951144,6.275007837,2.275439916,-1.464304049,-2.492698715,76.9378123,1.765834529,-0.687607481,-8.146249969,-3.82263833,0.459061952,-4.620872497,-0.204532209,-82.42939305,36.08871954,323.5040613,-2434.074889,13.17478611,0.058917431,-0.99128326,0.117839871,,,,,,,,,,,,,,,,,0.996514664,1,,,high,high,122.4798331,-0.798439363,55.09736804,Luke Shliger,shliglu42,Maryland,None
8,1/20/23,12:47:03,2,5,Jason Savacool,savacja42,Right,Maryland,Matt Shaw,shaw-ma51,Right,Maryland,,1,Top,1,2,2,Sinker,,StrikeCalled,Strikeout,,,1,0,,94.2369805,-2.005307135,-3.085499257,2183.591633,231.0535365,1:45,6.00612097,2.522751624,6.485383673,-20.87869015,10.96186216,10.7985978,1.975616573,-0.599474992,84.41717666,-6.091056794,-2.557674891,0.406126959,,,,,,,,,,,,-6.68398572,6.456741227,-2.26890259,50,5.823533376,6.991181652,-136.8203301,-5.539992064,-12.61040233,31.51329593,-19.99238014,Maryland,Maryland,shi01,NCAA D1,BIG10,41770a8b-ecca-41c1-956a-c7f415108b91,736f4326-98ea-11ed-a5dd-1b1a2625d0db,94.41905138,6.005198659,2.526838393,-1.994667114,-3.135173652,84.57044257,1.976801393,-0.602737477,-6.071434592,-2.609938625,0.405995959,11.25744997,9.733055214,-28.48310031,1.006343056,1919.284926,-1041.353827,87.89578128,-0.552507573,-0.476899532,-0.683595069,,,,,,,,,,,,,,,,,0.997246339,1,,,high,high,89.09429138,-22.15747076,54.83461633,Luke Shliger,shliglu42,Maryland,None
9,1/20/23,12:47:36,3,1,Jason Savacool,savacja42,Right,Maryland,Ian Petrutz,petruia42,Left,Maryland,,1,Top,2,0,0,Sinker,,BallCalled,,,,0,0,,90.1748168,-3.636137293,-4.789695311,2076.390949,235.3364384,1:45,5.820112738,2.735122775,6.608134143,-24.28672557,10.50390359,11.22296111,0.397552145,-0.795300704,82.43727454,-8.158750232,-2.687285737,0.424524407,,,,,,,,,,,,-7.409106189,6.694059732,-2.347021222,50,5.505110446,10.56273646,-130.5146893,-9.130720395,-12.74279154,28.21180344,-20.66105388,Maryland,Maryland,shi01,NCAA D1,BIG10,41770a8b-ecca-41c1-956a-c7f415108b91,8696c74c-98ea-11ed-b660-331d2e1b1dec,90.34675554,5.818482943,2.739565335,-3.61739524,-4.842142266,82.58905516,0.399646415,-0.799529934,-8.129972917,-2.744210878,0.424390548,11.70847443,9.164596515,-28.30014326,11.8859589,1828.212742,-984.3970453,88.04761661,-0.500776586,-0.474090414,-0.724196859,,,,,,,,,,,,,,,,,0.997831187,1,,,high,medium,79.3026271,-20.81952815,54.71186586,Luke Shliger,shliglu42,Maryland,None
10,1/20/23,12:47:54,3,2,Jason Savacool,savacja42,Right,Maryland,Ian Petrutz,petruia42,Left,Maryland,,1,Top,2,1,0,Curveball,,BallCalled,,,,0,0,,81.9581486,-2.386703241,-0.231826302,2432.366247,21.00408159,6:45,6.512530186,1.821903122,6.361638835,-50.727183,-8.268269151,-6.370289224,0.053631821,1.074407701,75.39985925,-11.75980059,-1.429982002,0.468981771,,,,,,,,,,,,3.330432333,-3.672885713,-1.797690724,50,6.272816648,0.681864358,-119.0506635,-6.556012895,4.724812629,25.30679534,-37.38469345,Maryland,Maryland,shi01,NCAA D1,BIG10,41770a8b-ecca-41c1-956a-c7f415108b91,91c598a3-98ea-11ed-ba46-75e5117edb00,82.05075437,6.50267131,1.824589379,-2.269308479,-0.264530719,75.45644183,0.063599159,1.072090122,-11.62999855,-1.460744877,0.468886458,-6.063589341,-11.06635994,-59.76058934,31.01085694,1224.974442,-2101.390771,50.36143073,0.470151602,-0.863928602,0.180512719,,,,,,,,,,,,,,,,,0.670495928,1,,,high,medium,62.09024834,67.55575834,54.95836116,Luke Shliger,shliglu42,Maryland,None
