PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,Baserunners
1,1/23/23,15:03:19,1,1,Ryan Van Buren,vanbury42,Right,Maryland,Elijah Lambros,lambrel42,Right,Maryland,Windup,1,Top,0,0,0,Four-Seam,,Foul,,,,,,,87.7377485,-1.695011019,-3.805703533,1883.602632,226.0616523,1:30,5.851222967,2.306982932,7.267510514,-23.48257748,11.75729017,10.18038492,2.571326258,-0.049656528,80.34306633,-5.286810307,-1.701940048,0.429742097,,,,,,,,,,,,-6.740294459,7.021108911,-2.04204365,50,5.720255769,8.187431583,-127.4780989,-4.461211226,-11.04319835,27.27103954,-20.67076901,Maryland,Maryland,shi01,NCAA D1,BIG10,87ccece0-b49e-4280-88dd-69061abda354,fb948c59-9b58-11ed-a471-297a80df1fc1,87.90634812,5.84984214,2.310463103,-1.678527343,-3.848731504,80.48781514,2.572802957,-0.052405933,-5.262242426,-1.746692151,0.429604955,10.59966133,10.35627338,-11.9206489,53.32474685,1842.982001,-389.0709696,97.8434607,-0.678920053,-0.20655682,-0.704557905,,,,,,,,,,,,,,,,,0.997815324,1,,,high,high,42.00772934,64.1937088,54.05248949,Luke Shliger,shliglu42,Maryland,
2,1/23/23,15:03:39,1,2,Ryan Van Buren,vanbury42,Right,Maryland,Elijah Lambros,lambrel42,Right,Maryland,Windup,1,Top,0,0,1,Four-Seam,,InPlay,,LineDrive,Double,0,0,,90.39892081,-1.647074245,-4.518468816,1980.253564,227.7130332,1:30,5.851493641,2.268889874,7.246790912,-21.58331235,11.45965008,10.45580445,2.56389907,-0.555079504,83.01659865,-5.208347492,-2.02373545,0.417586921,98.01360225,19.98469191,1.948571359,2052.49651,,,,355.653437,,6.94865124,3.910521941,-7.11594029,6.867596493,-1.951822364,50,5.723918114,10.05853434,-131.226329,-4.4372452,-12.35720494,28.83815777,-20.24810673,Maryland,Maryland,shi01,NCAA D1,BIG10,87ccece0-b49e-4280-88dd-69061abda354,07e95185-9b59-11ed-8ea6-5fa2d859c6f9,90.57327297,5.850331074,2.272648118,-1.63362069,-4.563864799,83.16410119,2.565126056,-0.557913488,-5.18775211,-2.070000837,0.417453595,10.89512885,10.17541367,-15.20532054,57.66767302,1910.92913,-519.3785129,96.49921426,-0.649289414,-0.262278792,-0.713885909,3.132018677,92.05834842,33.49801742,0.595579555,1.375247702,2.664400275,43.02687095,353.0411529,32.48816411,60.52049594,1.089918378,0.902950351,0.13098986,-0.409294906,,,0.995132314,1,0.989488308,55.83887231,high,high,38.09912049,51.39075424,54.07320909,Luke Shliger,shliglu42,Maryland,
3,1/23/23,15:04:27,2,1,Ryan Van Buren,vanbury42,Right,Maryland,Nick Lorusso,lorusni42,Right,Maryland,Stretch,1,Top,0,0,0,Sinker,,BallCalled,,,,0,0,,86.72691069,-1.73430429,-2.856416005,1738.972051,231.2514822,1:45,5.706625125,2.586348797,7.391425113,-25.93315241,10.31690043,10.85001144,2.186052211,1.386233186,80.06583677,-5.822840761,-0.004221255,0.427862648,,,,,,,,,,,,-6.511426545,5.947064682,-2.234731468,50,5.151935971,4.263554538,-127.7915034,-3.019524587,-10.71176194,27.61047604,-22.39070324,Maryland,Maryland,shi01,NCAA D1,BIG10,87ccece0-b49e-4280-88dd-69061abda354,241120a8-9b59-11ed-980a-dbe673b44c16,86.88691637,5.704545581,2.589613502,-1.709181893,-2.896871586,80.20275922,2.188006261,1.383660708,-5.790566267,-0.046379003,0.427741451,11.21648602,8.818709199,3.925370209,12.05651736,1734.892535,119.0449017,99.76540642,-0.624434968,0.068457053,-0.778071078,,,,,,,,,,,,,,,,,0.997593137,1,,,high,high,79.14914293,-0.569635404,53.92857489,Luke Shliger,shliglu42,Maryland,
4,1/23/23,15:04:52,2,2,Ryan Van Buren,vanbury42,Right,Maryland,Nick Lorusso,lorusni42,Right,Maryland,Stretch,1,Top,0,1,0,Slider,,StrikeCalled,,,,0,0,,80.5690141,0.920536291,-0.554528881,2184.640974,88.02116314,9:00,5.668726708,2.538928017,7.092218827,-41.18499497,2.953100956,-6.816845006,3.258867282,-0.302285823,72.20741394,-5.645179986,-3.69613872,0.468243531,,,,,,,,,,,,3.692517502,0.903486558,-2.494558807,50,5.71696381,1.327696785,-117.3247809,0.788179706,5.129390369,22.90069064,-30.91898844,Maryland,Maryland,shi01,NCAA D1,BIG10,87ccece0-b49e-4280-88dd-69061abda354,337068b0-9b59-11ed-b640-677cdd9c3cb9,80.69235232,5.662748428,2.540599465,0.993419713,-0.575561695,72.30298499,3.263955367,-0.303569018,-5.56297225,-3.716441139,0.468124783,-6.577282328,0.744263777,-73.79617537,10.99716862,609.6354156,-2097.85625,27.90551962,0.009635874,-0.960275063,0.278888782,,,,,,,,,,,,,,,,,0.997625792,1,,,high,high,80.10255773,7.867126715,54.22778117,Luke Shliger,shliglu42,Maryland,
5,1/23/23,15:05:16,2,3,Ryan Van Buren,vanbury42,Right,Maryland,Nick Lorusso,lorusni42,Right,Maryland,Stretch,1,Top,0,1,1,Slider,,StrikeCalled,,,,0,0,,81.233459,0.415667396,-0.542865334,2105.124318,84.6477377,8:45,5.701408857,2.526412036,7.027897404,-40.80643464,2.614171612,-6.184702451,2.714123657,-0.189348971,73.01748446,-6.517274608,-3.624313281,0.464856205,,,,,,,,,,,,3.26629526,0.857022608,-2.48258428,50,5.712421956,1.29565324,-118.2958034,-0.255122072,4.614907445,23.18202423,-30.96317313,Maryland,Maryland,shi01,NCAA D1,BIG10,87ccece0-b49e-4280-88dd-69061abda354,41c50928-9b59-11ed-90aa-fd3b74b9fa2f,81.35530381,5.695626088,2.528246096,0.487095363,-0.566169534,73.11041767,2.719026847,-0.190709711,-6.437310493,-3.64615424,0.464740121,-5.927394378,0.449516785,-75.8662296,8.967064535,514.0431602,-2041.398546,24.4186605,0.022777433,-0.969728262,0.243121958,,,,,,,,,,,,,,,,,0.990819403,1,,,high,high,81.92965024,7.928060301,54.2921026,Luke Shliger,shliglu42,Maryland,
6,1/23/23,15:05:44,2,4,Ryan Van Buren,vanbury42,Right,Maryland,Nick Lorusso,lorusni42,Right,Maryland,Stretch,1,Top,0,1,2,Slider,,Foul,,,,0,0,,80.36560107,0.556697179,-0.534421261,2264.622483,82.8425511,8:45,5.762237088,2.536408275,7.060929911,-40.98111189,1.614381482,-7.201488389,2.458248907,-0.391643462,72.66495193,-7.618054479,-4.536355785,0.477593059,,,,,,,,,,,,3.182677952,1.450899785,-2.877580576,50,5.748646407,6.480324633,-115.1585855,-0.802674019,4.253052435,22.35981144,-30.23519402,Maryland,Maryland,shi01,NCAA D1,BIG10,87ccece0-b49e-4280-88dd-69061abda354,52326c4c-9b59-11ed-823f-1ff59d43b79e,80.48447066,5.756139438,2.538203725,0.632429687,-0.55738522,72.75402593,2.463444082,-0.392812553,-7.534815844,-4.55477808,0.477483535,-6.987453846,-0.517235687,-74.38678445,12.45048409,609.5049345,-2181.059083,26.91419604,0.033534119,-0.963100517,0.267044674,,,,,,,,,,,,,,,,,0.989670837,1,,,high,high,78.79456676,31.57250519,54.25907009,Luke Shliger,shliglu42,Maryland,
7,1/23/23,15:06:13,2,5,Ryan Van Buren,vanbury42,Right,Maryland,Nick Lorusso,lorusni42,Right,Maryland,Stretch,1,Top,0,1,2,Sinker,,BallCalled,,,,0,0,,88.64814033,-2.532110305,-2.090939745,1914.503026,229.9669234,1:45,5.752989455,2.537132779,7.292039315,-23.79198596,11.05799763,11.31329807,1.738230032,1.382175876,79.30286297,-6.07711551,0.030151802,0.424886382,,,,,,,,,,,,-6.852524203,6.841897334,-2.395134811,50,5.564097244,4.381935861,-128.9274945,-6.389200761,-11.47223319,28.14625549,-20.71960749,Maryland,Maryland,shi01,NCAA D1,BIG10,87ccece0-b49e-4280-88dd-69061abda354,63c41e30-9b59-11ed-acfd-f1c08acd3d6c,88.81305052,5.751262943,2.540676024,-2.511798685,-2.133977324,79.43949117,1.740032104,1.379443072,-6.047150911,-0.014887218,0.424753426,11.70422321,9.628526294,5.303732415,5.561167312,1906.306424,176.9679536,99.57186787,-0.640475864,0.092435452,-0.762395144,,,,,,,,,,,,,,,,,0.997167062,1,,,high,high,84.99495313,-0.448885737,54.02796068,Luke Shliger,shliglu42,Maryland,
8,1/23/23,15:06:59,2,6,Ryan Van Buren,vanbury42,Right,Maryland,Nick Lorusso,lorusni42,Right,Maryland,Stretch,1,Top,0,2,2,Slider,,StrikeSwinging,Strikeout,,,1,0,,78.76667879,-0.143023095,-1.384951652,2119.1956,78.67365931,8:30,5.740335501,2.531803937,7.008766937,-44.83734518,2.199646355,-6.870186016,2.043218315,0.482373136,70.3616423,-7.838796655,-3.674646887,0.479909523,,,,,,,,,,,,3.340772625,0.950294696,-2.424090611,50,5.70783832,2.958162078,-114.6671826,-1.446505265,4.430702827,21.97324531,-30.91372035,Maryland,Maryland,shi01,NCAA D1,BIG10,87ccece0-b49e-4280-88dd-69061abda354,7f2b3e54-9b59-11ed-8300-658e7bc13448,78.88202298,5.733855915,2.533841161,-0.064383016,-1.410348119,70.44338889,2.048712208,0.480845772,-7.749065714,-3.699330782,0.479791807,-6.580730866,-0.20180365,-75.34371231,19.00877465,536.1986757,-2050.239248,25.30199079,0.049692337,-0.967461072,0.248092212,,,,,,,,,,,,,,,,,0.997681226,1,,,high,high,107.1078922,27.80132963,54.31123306,Luke Shliger,shliglu42,Maryland,
9,1/23/23,15:07:34,3,1,Ryan Van Buren,vanbury42,Right,Maryland,Bobby Zmarzlak,zmarzbo42,Right,Maryland,Stretch,1,Top,1,0,0,Sinker,,BallCalled,,,,0,0,,88.62715704,-1.47228009,-2.344997144,1884.338843,232.2653362,1:45,5.672825559,2.599142396,7.414554501,-25.27494114,10.64652989,11.52880818,2.636032724,1.254532341,79.23304738,-5.015856717,0.148752852,0.423808864,,,,,,,,,,,,-7.016274666,6.237932942,-2.444036853,50,5.562140335,4.962141254,-128.9824581,-3.995421831,-11.75299659,28.24229328,-21.72485709,Maryland,Maryland,shi01,NCAA D1,BIG10,87ccece0-b49e-4280-88dd-69061abda354,93d4b01c-9b59-11ed-ac81-0f1f0b7efa31,88.79068527,5.671123227,2.602684658,-1.451457449,-2.389562755,79.37187442,2.637930394,1.251583757,-4.984721534,0.100908131,0.423677649,11.97130809,9.110171737,-0.669395237,1.591273495,1884.210243,-22.01451438,99.99317528,-0.611963848,-0.011682885,-0.790799443,,,,,,,,,,,,,,,,,0.997521805,1,,,high,high,88.56785552,-11.159369,53.9054455,Luke Shliger,shliglu42,Maryland,
10,1/23/23,15:07:54,3,2,Ryan Van Buren,vanbury42,Right,Maryland,Bobby Zmarzlak,zmarzbo42,Right,Maryland,Stretch,1,Top,1,1,0,Sinker,,Foul,,,,0,0,,90.27808803,-1.430806666,-2.976694421,1886.126438,231.7870821,1:45,5.750553335,2.625773729,7.298387432,-24.3482812,10.68950863,11.38892733,2.502535344,0.111034207,80.52691022,-5.300441483,-1.723639631,0.417125935,84.1905212,51.26872453,54.95917709,,89.80531752,63.52168878,100.702487,291.4263137,,54.87162238,5.23617641,-7.05455336,6.19140544,-2.42165292,50,5.639647822,6.499762395,-131.2988219,-3.960090599,-12.25187982,29.12856733,-21.42122776,Maryland,Maryland,shi01,NCAA D1,BIG10,87ccece0-b49e-4280-88dd-69061abda354,9fa0b487-9b59-11ed-a706-81783530bd56,90.44685052,5.74897683,2.629413548,-1.411990905,-3.021354787,80.66765108,2.504274983,0.108143266,-5.271475961,-1.770959582,0.416995,11.83030216,9.251549178,-3.277395833,0.624010474,1883.041582,-107.8301503,99.83644489,-0.61757383,-0.05717016,-0.784432366,43.12759343,30.24408277,65.67609917,0.106857739,1.04417977,2.793936631,238.3473316,167.6897309,,,,,,,,,0.997066984,1,,39.41846602,high,high,90.56160933,-13.3944066,54.02161257,Luke Shliger,shliglu42,Maryland,
