PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,Baserunners
1,11/9/22,15:41:12,1,1,Logan Ott,ott--lo42,Left,Maryland,Luke Shliger,shliglu42,Left,Maryland,Windup,1,Top,0,0,0,Slider,,StrikeCalled,,,,0,0,,75.65713618,0.180703722,-0.476123932,1785.704717,294.50231,3:45,5.857326823,-0.057191986,6.593110104,-48.83358142,0.106576541,6.317481109,1.978226835,0.236072445,69.52567613,-8.606292861,1.016557398,0.503516026,,,,,,,,,,,,-3.575883218,-0.075388038,0.092626971,50,5.842786477,0.735048071,-110.0958893,-1.029951794,-4.37346933,20.19206161,-32.26625262,Maryland,Maryland,shi01,NCAA D1,BIG10,61b2e206-c00d-4e7a-8a7e-8b30135ab497,d9b30e11-606e-11ed-b32b-b122ea18f4f7,75.76344298,5.849907542,-0.059375998,0.271985209,-0.448529396,69.59934261,1.984514371,0.23760188,-8.506289355,1.040862309,0.503398021,6.037152328,-2.43875735,73.41288316,30.88128539,509.770245,1711.395814,28.54728669,0.118394142,0.958386792,-0.25976448,,,,,,,,,,,,,,,,,0.996502861,1,,,high,high,62.20684973,6.449459312,54.7268899,Devin Russell,,Maryland,None
2,11/9/22,15:41:24,1,2,Logan Ott,ott--lo42,Left,Maryland,Luke Shliger,shliglu42,Left,Maryland,Windup,1,Top,0,0,1,Slider,,BallCalled,,,,0,0,,77.02412112,-0.013386964,1.67892636,1854.909235,297.3968049,4:00,5.799578942,-0.106785611,6.721795976,-47.10148947,0.209539536,6.14726262,1.952490475,1.604857255,70.53662898,-8.362412149,2.201167061,0.493651832,,,,,,,,,,,,-2.891779022,0.20054459,-0.031567492,50,5.77183275,-3.459519082,-112.060828,-1.33117175,-3.662106567,21.02440301,-31.92008286,Maryland,Maryland,shi01,NCAA D1,BIG10,61b2e206-c00d-4e7a-8a7e-8b30135ab497,e11e4cb3-606e-11ed-bbeb-fb7457981d42,77.13425577,5.792405134,-0.109007086,0.073465373,1.70649003,70.61283613,1.958497719,1.60640809,-8.266204132,2.225935861,0.493534398,5.861145256,-2.257538803,73.98891577,63.66077949,511.6271896,1782.954259,27.58233017,0.126920168,0.961208357,-0.244887249,,,,,,,,,,,,,,,,,0.996353928,1,,,high,high,32.70524365,25.66245044,54.59820402,Devin Russell,,Maryland,None
3,11/9/22,15:41:39,1,3,Logan Ott,ott--lo42,Left,Maryland,Luke Shliger,shliglu42,Left,Maryland,Windup,1,Top,0,1,1,Four-Seam,,BallCalled,,,,0,0,,88.56849254,-1.212543948,1.019970019,2084.059686,165.1409051,11:30,5.925549408,0.130875153,6.684435914,-20.43065638,17.23552339,-3.950078044,3.197106667,-0.575932439,78.26655443,-4.113273484,-0.772766493,0.430082664,,,,,,,,,,,,2.379938817,9.485738391,-0.211178264,50,5.816539136,-2.169413643,-128.8325394,-3.334353509,3.973620871,28.41184702,-16.33636175,Maryland,Maryland,shi01,NCAA D1,BIG10,61b2e206-c00d-4e7a-8a7e-8b30135ab497,e98df340-606e-11ed-a666-9ff15b715b75,88.75399571,5.92576917,0.129360837,-1.215965526,1.038855509,78.42928565,3.197553494,-0.574622391,-4.105373759,-0.751575595,0.429928914,-4.149915587,15.79716214,12.96497499,74.63416731,2030.931576,467.5700031,97.45073953,-0.941919291,0.22435538,0.249905409,,,,,,,,,,,,,,,,,0.997755727,1,,,high,high,22.82941444,-2.419839607,54.63556409,Devin Russell,,Maryland,None
4,11/9/22,15:41:53,1,4,Logan Ott,ott--lo42,Left,Maryland,Luke Shliger,shliglu42,Left,Maryland,Windup,1,Top,0,2,1,Curveball,,StrikeCalled,,,,0,0,,74.35595151,2.350054073,1.144930741,1978.871538,320.3475272,4:45,5.840229393,-0.270535058,6.44915919,-57.54074014,-6.23511867,8.412448397,2.875842179,-0.332528097,65.84936648,-8.691955389,1.074701009,0.515530066,,,,,,,,,,,,-4.156660921,-4.053042208,0.167871515,50,6.00379331,-2.395829876,-108.0267401,2.814073922,-4.868121347,20.38347266,-36.92081668,Maryland,Maryland,shi01,NCAA D1,BIG10,61b2e206-c00d-4e7a-8a7e-8b30135ab497,f20a73cc-606e-11ed-b71a-2d2854ad078b,74.44863756,5.829811144,-0.272086617,2.477483639,1.164479806,65.88950385,2.884771024,-0.331361608,-8.549355339,1.093299691,0.515431593,8.227972452,-9.36526916,53.08942131,86.41274067,1188.446638,1582.253821,60.05678565,0.4623947,0.799573793,-0.383239992,,,,,,,,,,,,,,,,,0.997971951,1,,,high,high,12.22875804,33.26105141,54.87084081,Devin Russell,,Maryland,None
5,11/9/22,15:42:10,1,5,Logan Ott,ott--lo42,Left,Maryland,Luke Shliger,shliglu42,Left,Maryland,Windup,1,Top,0,2,2,Slider,,StrikeSwinging,Strikeout,,,1,0,,78.42974445,-0.202809319,1.94336679,1863.620191,299.0496451,4:00,5.749042817,-0.06733193,6.652581805,-49.46863166,-0.289144372,6.916385511,1.525508396,0.989363608,69.37058583,-9.101714049,2.02910141,0.485679028,,,,,,,,,,,,-3.038900032,0.027979663,-0.094966509,50,5.705754718,-4.063263027,-114.070272,-1.71700857,-3.985042743,21.9139377,-32.13735863,Maryland,Maryland,shi01,NCAA D1,BIG10,61b2e206-c00d-4e7a-8a7e-8b30135ab497,fc420670-606e-11ed-a4b0-edc40761654b,78.5409155,5.742095759,-0.069125693,-0.117100224,1.966057801,69.44044281,1.532018451,0.990843643,-8.998644444,2.052523285,0.48556424,6.64277961,-2.918447775,71.81079989,28.40264762,581.7399237,1770.496789,31.21558386,0.151572658,0.950030911,-0.272886417,,,,,,,,,,,,,,,,,0.800726644,1,,,high,high,64.43762089,-2.764497287,54.66741819,Devin Russell,,Maryland,None
6,11/9/22,15:42:33,2,1,Logan Ott,ott--lo42,Left,Maryland,Eddie Hacopian,hacoped42,Right,Maryland,Windup,1,Top,1,0,0,Changeup,,StrikeCalled,,,,0,0,,81.27562268,-1.980884973,0.180714689,1662.490233,157.6883305,11:15,5.841506837,-0.069198052,6.950330802,-26.76169844,15.15337404,-5.299226695,1.937098327,-0.769734791,73.13056203,-6.353322238,-1.708311826,0.46596858,,,,,,,,,,,,2.938768137,8.831125484,0.058172065,50,5.676453891,-0.223271405,-118.2647077,-4.846638901,4.142036899,23.57121973,-19.72704938,Maryland,Maryland,shi01,NCAA D1,BIG10,61b2e206-c00d-4e7a-8a7e-8b30135ab497,09d0a2b8-606f-11ed-b9b8-d59182064cfe,81.44464729,5.840103193,-0.071042683,-1.964619531,0.203282799,73.27322401,1.938809135,-0.768273878,-6.324761563,-1.684235633,0.465804101,-5.505257914,13.50034696,4.884521802,50.46593652,1656.452625,141.5573236,99.63683348,-0.921772644,0.085147763,0.378265848,,,,,,,,,,,,,,,,,0.997958037,1,,,high,high,44.58071744,88.05787546,54.3696692,Devin Russell,,Maryland,None
7,11/9/22,15:42:46,2,2,Logan Ott,ott--lo42,Left,Maryland,Eddie Hacopian,hacoped42,Right,Maryland,Windup,1,Top,1,0,1,Slider,,Foul,,,,0,0,,79.94225233,0.604879595,2.729111201,1834.632225,297.7230662,4:00,5.826912541,-0.239176205,6.587944887,-46.28356441,0.867290651,5.04837465,2.527380042,1.040338208,70.74895478,-7.559627136,2.768698829,0.47700431,96.71797377,11.03816572,-41.01890734,3166.230288,,,,174.9676125,,-47.19969539,1.47841565,-1.871952878,0.373709798,0.010631197,50,5.851071061,-5.68587788,-116.2012849,-0.046669775,-2.551873791,22.38073943,-31.66460287,Maryland,Maryland,shi01,NCAA D1,BIG10,61b2e206-c00d-4e7a-8a7e-8b30135ab497,119fe15e-606f-11ed-ad57-43e7fd691998,80.06425467,5.820452178,-0.241584716,0.681711067,2.758399802,70.83099271,2.53316312,1.042236976,-7.467302608,2.79882425,0.476885605,4.71172715,-1.511869049,77.11434695,25.00225899,409.1340226,1788.430808,22.30060155,0.103742053,0.974817068,-0.197406356,-62.30245507,71.62302721,18.51789717,-2.328945818,2.353978127,2.861264062,-128.3783306,118.8809054,3.291720087,-32.69825155,-0.229025497,-0.132613924,-0.222497744,0.965871783,,,0.996171803,1,0.997527395,55.02915428,high,high,67.49800114,-4.563406552,54.73205511,Devin Russell,,Maryland,None
8,11/9/22,15:43:21,2,3,Logan Ott,ott--lo42,Left,Maryland,Eddie Hacopian,hacoped42,Right,Maryland,Windup,1,Top,1,0,2,Changeup,,BallCalled,,,,0,0,,83.96985997,-3.754261091,1.318263621,,,,5.721656181,-0.168929246,6.872816941,,,,-0.893958098,1.051414371,77.79023669,-10.7308102,1.318263621,,,,,,,,,,,,,,,,,,,,,,,,Maryland,Maryland,shi01,NCAA D1,BIG10,61b2e206-c00d-4e7a-8a7e-8b30135ab497,2699d4b5-606f-11ed-b01d-3fed5b91682c,84.09430655,5.71679623,-0.168929246,-3.695899004,1.318263621,77.89347544,-0.888664422,1.051414371,-10.66085854,1.318263621,0.451346943,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,high,low,,,54.44718306,Devin Russell,,Maryland,None
9,11/9/22,15:43:41,2,4,Logan Ott,ott--lo42,Left,Maryland,Eddie Hacopian,hacoped42,Right,Maryland,Windup,1,Top,1,1,2,Curveball,,InPlay,,GroundBall,Out,1,0,,75.24911477,2.084629907,0.84309464,1910.18004,318.5669708,4:30,5.856046665,-0.076909781,6.491933336,-59.33847283,-5.78134111,8.04348793,2.900856868,-0.526165456,66.428616,-8.492549739,0.200665187,0.508568374,,,,,,,,,,,,-3.988690362,-3.443630949,0.000934052,50,5.997444224,-1.833631565,-109.371504,2.418242792,-4.794305954,20.67512942,-36.31320777,Maryland,Maryland,shi01,NCAA D1,BIG10,61b2e206-c00d-4e7a-8a7e-8b30135ab497,32601757-606f-11ed-ada3-6d44af86f013,75.34700368,5.846120259,-0.078557701,2.204431018,0.863577217,66.47447606,2.909328839,-0.52491981,-8.356994501,0.220571874,0.508465086,7.803174262,-9.028274315,56.32271854,79.83616763,1059.222521,1589.602288,55.45144956,0.415735998,0.832174065,-0.366946735,,,,,,,,,,,,,,,,,0.99714671,1,,,high,high,18.14732148,69.5647253,54.82806666,Devin Russell,,Maryland,None
10,11/9/22,15:44:09,3,1,Logan Ott,ott--lo42,Left,Maryland,Nick Lorusso,lorusni42,Right,Maryland,Windup,1,Top,2,0,0,Changeup,,BallCalled,,,,0,0,,81.43450382,-2.115720752,0.365223557,1602.586444,161.8867406,11:30,5.876034662,-0.099853894,6.795377535,-26.80375249,15.192602,-4.201095997,1.851410755,0.47683064,73.90369422,-6.493108229,0.35123286,0.466420166,,,,,,,,,,,,2.381052581,8.841877298,0.07334213,50,5.694010847,-0.632628578,-118.4575702,-5.15767117,3.368599399,23.54332229,-19.66498414,Maryland,Maryland,shi01,NCAA D1,BIG10,61b2e206-c00d-4e7a-8a7e-8b30135ab497,4347b0cf-606f-11ed-909e-c72aa3bbf9d2,81.60441078,5.874596765,-0.101372616,-2.099234523,0.383633099,74.04867255,1.853100246,0.478009064,-6.465238466,0.370355025,0.46625371,-4.369403783,13.54991516,5.727139745,61.87144819,1594.586993,159.9238245,99.50084127,-0.945699586,0.099791075,0.309344523,,,,,,,,,,,,,,,,,0.99633327,1,,,high,high,34.31571488,89.64464909,54.52462247,Devin Russell,,Maryland,None
